,count,date
0,73,2020-02-20
1,100,2020-02-21
2,229,2020-02-22
3,169,2020-02-23
4,231,2020-02-24
5,144,2020-02-25
6,284,2020-02-26
7,505,2020-02-27
8,571,2020-02-28
9,813,2020-02-29
10,586,2020-03-01
11,599,2020-03-02
12,851,2020-03-03
13,435,2020-03-04
14,467,2020-03-05
15,505,2020-03-06
16,448,2020-03-07
17,273,2020-03-08
18,164,2020-03-09
19,35,2020-03-10
20,242,2020-03-11
21,114,2020-03-12
22,110,2020-03-13
23,107,2020-03-14
24,76,2020-03-15
25,74,2020-03-16
26,84,2020-03-17
27,93,2020-03-18
28,152,2020-03-19
29,87,2020-03-20
30,147,2020-03-21
31,162,2020-03-22
32,0,2020-03-23
33,76,2020-03-24
34,100,2020-03-25
35,104,2020-03-26
36,91,2020-03-27
37,146,2020-03-28
38,105,2020-03-29
39,78,2020-03-30
40,125,2020-03-31
41,101,2020-04-01
42,89,2020-04-02
43,86,2020-04-03
44,94,2020-04-04
45,81,2020-04-05
46,47,2020-04-06
47,47,2020-04-07
48,53,2020-04-08
49,39,2020-04-09
50,27,2020-04-10
51,30,2020-04-11
52,32,2020-04-12
53,25,2020-04-13
54,27,2020-04-14
55,27,2020-04-15
56,22,2020-04-16
57,22,2020-04-17
58,18,2020-04-18
59,8,2020-04-19
60,13,2020-04-20
61,9,2020-04-21
62,11,2020-04-22
63,14,2020-04-23
64,10,2020-04-24
65,10,2020-04-25
66,10,2020-04-26
67,14,2020-04-27
68,9,2020-04-28
69,4,2020-04-29
70,9,2020-04-30
71,6,2020-05-01
72,13,2020-05-02
73,8,2020-05-03
74,3,2020-05-04
75,2,2020-05-05
76,4,2020-05-06
77,12,2020-05-07
78,18,2020-05-08
79,34,2020-05-09
80,35,2020-05-10
81,27,2020-05-11
82,26,2020-05-12
83,29,2020-05-13
84,27,2020-05-14
85,19,2020-05-15
86,13,2020-05-16
87,15,2020-05-17
88,13,2020-05-18
89,32,2020-05-19
90,12,2020-05-20
91,20,2020-05-21
92,23,2020-05-22
93,25,2020-05-23
94,16,2020-05-24
95,19,2020-05-25
96,40,2020-05-26
97,79,2020-05-27
98,58,2020-05-28
99,39,2020-05-29
100,27,2020-05-30
101,35,2020-05-31
102,38,2020-06-01
103,49,2020-06-02
104,39,2020-06-03
105,39,2020-06-04
106,51,2020-06-05
107,57,2020-06-06
108,38,2020-06-07
109,38,2020-06-08
110,50,2020-06-09
111,45,2020-06-10
112,56,2020-06-11
113,48,2020-06-12
114,34,2020-06-13
115,36,2020-06-14
116,34,2020-06-15
117,43,2020-06-16
118,59,2020-06-17
119,49,2020-06-18
120,67,2020-06-19
121,48,2020-06-20
122,17,2020-06-21
123,46,2020-06-22
124,51,2020-06-23
125,28,2020-06-24
126,39,2020-06-25
127,51,2020-06-26
128,62,2020-06-27
129,42,2020-06-28
130,43,2020-06-29
131,50,2020-06-30
132,54,2020-07-01
133,63,2020-07-02
134,63,2020-07-03
135,61,2020-07-04
136,46,2020-07-05
137,44,2020-07-06
138,63,2020-07-07
139,49,2020-07-08
140,45,2020-07-09
141,35,2020-07-10
142,44,2020-07-11
143,62,2020-07-12
144,33,2020-07-13
145,39,2020-07-14
146,61,2020-07-15
147,60,2020-07-16
148,39,2020-07-17
149,34,2020-07-18
150,26,2020-07-19
151,45,2020-07-20
152,63,2020-07-21
153,59,2020-07-22
154,41,2020-07-23
155,113,2020-07-24
156,58,2020-07-25
157,25,2020-07-26
158,28,2020-07-27
159,48,2020-07-28
160,18,2020-07-29
161,36,2020-07-30
162,31,2020-07-31
163,30,2020-08-01
164,23,2020-08-02
165,34,2020-08-03
166,33,2020-08-04
167,43,2020-08-05
168,20,2020-08-06
169,43,2020-08-07
170,36,2020-08-08
171,28,2020-08-09
172,34,2020-08-10
173,54,2020-08-11
174,56,2020-08-12
175,103,2020-08-13
176,166,2020-08-14
177,279,2020-08-15
178,197,2020-08-16
179,246,2020-08-17
180,297,2020-08-18
181,288,2020-08-19
182,324,2020-08-20
183,332,2020-08-21
184,397,2020-08-22
185,266,2020-08-23
186,280,2020-08-24
187,320,2020-08-25
188,441,2020-08-26
189,371,2020-08-27
190,323,2020-08-28
191,299,2020-08-29
192,248,2020-08-30
193,235,2020-08-31
194,267,2020-09-01
195,195,2020-09-02
196,198,2020-09-03
197,168,2020-09-04
198,167,2020-09-05
199,119,2020-09-06
200,136,2020-09-07
201,156,2020-09-08
202,155,2020-09-09
203,176,2020-09-10
204,136,2020-09-11
205,121,2020-09-12
206,109,2020-09-13
207,106,2020-09-14
208,113,2020-09-15
209,153,2020-09-16
210,126,2020-09-17
211,110,2020-09-18
212,82,2020-09-19
213,70,2020-09-20
214,61,2020-09-21
215,110,2020-09-22
216,125,2020-09-23
217,114,2020-09-24
218,61,2020-09-25
219,95,2020-09-26
220,50,2020-09-27
221,38,2020-09-28
222,113,2020-09-29
223,77,2020-09-30
224,63,2020-10-01
225,75,2020-10-02
226,64,2020-10-03
227,73,2020-10-04
228,75,2020-10-05
229,114,2020-10-06
230,69,2020-10-07
231,54,2020-10-08
232,72,2020-10-09
233,58,2020-10-10
234,97,2020-10-11
235,102,2020-10-12
236,84,2020-10-13
237,99,2020-10-14
238,47,2020-10-15
239,73,2020-10-16
240,91,2020-10-17
241,76,2020-10-18
242,58,2020-10-19
243,91,2020-10-20
244,119,2020-10-21
245,155,2020-10-22
246,77,2020-10-23
247,61,2020-10-24
248,119,2020-10-25
249,88,2020-10-26
250,103,2020-10-27
251,125,2020-10-28
252,114,2020-10-29
253,126,2020-10-30
254,124,2020-10-31
255,97,2020-11-01
256,75,2020-11-02
257,118,2020-11-03
258,125,2020-11-04
259,145,2020-11-05
260,89,2020-11-06
261,143,2020-11-07
262,126,2020-11-08
263,100,2020-11-09
264,146,2020-11-10
265,143,2020-11-11
266,191,2020-11-12
267,205,2020-11-13
268,208,2020-11-14
269,223,2020-11-15
270,229,2020-11-16
271,313,2020-11-17
272,343,2020-11-18
273,363,2020-11-19
274,386,2020-11-20
275,330,2020-11-21
276,271,2020-11-22
277,349,2020-11-23
278,382,2020-11-24
279,583,2020-11-25
280,569,2020-11-26
281,488,2020-11-27
282,449,2020-11-28
283,377,2020-11-29
284,451,2020-11-30
285,511,2020-12-01
286,540,2020-12-02
287,629,2020-12-03
288,583,2020-12-04
289,631,2020-12-05
290,615,2020-12-06
291,594,2020-12-07
292,677,2020-12-08
293,666,2020-12-09
294,688,2020-12-10
295,950,2020-12-11
296,1030,2020-12-12
297,718,2020-12-13
298,880,2020-12-14
299,1078,2020-12-15
300,1011,2020-12-16
301,1062,2020-12-17
302,1055,2020-12-18
303,1095,2020-12-19
304,926,2020-12-20
305,869,2020-12-21
306,1090,2020-12-22
307,983,2020-12-23
308,1237,2020-12-24
309,1132,2020-12-25
310,970,2020-12-26
311,808,2020-12-27
312,1045,2020-12-28
313,1048,2020-12-29
314,967,2020-12-30
315,1029,2020-12-31
316,824,2021-01-01
317,651,2021-01-02
318,1020,2021-01-03
319,715,2021-01-04
320,839,2021-01-05
321,868,2021-01-06
322,672,2021-01-07
323,641,2021-01-08
324,665,2021-01-09
325,450,2021-01-10
326,537,2021-01-11
327,561,2021-01-12
328,516,2021-01-13
329,513,2021-01-14
330,579,2021-01-15
331,520,2021-01-16
332,389,2021-01-17
333,386,2021-01-18
334,403,2021-01-19
335,400,2021-01-20
336,344,2021-01-21
337,430,2021-01-22
338,392,2021-01-23
339,437,2021-01-24
340,354,2021-01-25
341,554,2021-01-26
342,497,2021-01-27
343,469,2021-01-28
344,455,2021-01-29
345,355,2021-01-30
346,303,2021-01-31
347,336,2021-02-01
348,467,2021-02-02
349,451,2021-02-03
350,369,2021-02-04
351,393,2021-02-05
352,372,2021-02-06
353,289,2021-02-07
354,302,2021-02-08
355,443,2021-02-09
356,504,2021-02-10
357,403,2021-02-11
358,362,2021-02-12
359,326,2021-02-13
360,344,2021-02-14
361,456,2021-02-15
362,621,2021-02-16
363,621,2021-02-17
364,561,2021-02-18
365,446,2021-02-19
366,418,2021-02-20
367,332,2021-02-21
368,357,2021-02-22
369,439,2021-02-23
370,396,2021-02-24
371,406,2021-02-25
372,399,2021-02-26
373,355,2021-02-27
374,355,2021-02-28
375,341,2021-03-01
376,444,2021-03-02
377,424,2021-03-03
378,398,2021-03-04
379,417,2021-03-05
380,416,2021-03-06
381,346,2021-03-07
382,446,2021-03-08
383,470,2021-03-09
384,465,2021-03-10
385,488,2021-03-11
386,490,2021-03-12
387,459,2021-03-13
388,382,2021-03-14
389,363,2021-03-15
390,469,2021-03-16
391,445,2021-03-17
392,463,2021-03-18
393,452,2021-03-19
394,456,2021-03-20
395,410,2021-03-21
396,346,2021-03-22
397,425,2021-03-23
398,430,2021-03-24
399,494,2021-03-25
400,505,2021-03-26
401,482,2021-03-27
402,384,2021-03-28
403,441,2021-03-29
404,506,2021-03-30
405,551,2021-03-31
406,555,2021-04-01
407,542,2021-04-02
408,543,2021-04-03
409,473,2021-04-04
410,478,2021-04-05
411,668,2021-04-06
412,700,2021-04-07
413,671,2021-04-08
414,676,2021-04-09
415,614,2021-04-10
416,587,2021-04-11
417,542,2021-04-12
418,731,2021-04-13
419,698,2021-04-14
420,672,2021-04-15
421,655,2021-04-16
422,671,2021-04-17
423,531,2021-04-18
424,549,2021-04-19
425,731,2021-04-20
426,735,2021-04-21
427,797,2021-04-22
428,785,2021-04-23
429,644,2021-04-24
430,500,2021-04-25
431,511,2021-04-26
432,775,2021-04-27
433,678,2021-04-28
434,656,2021-04-29
435,627,2021-04-30
436,606,2021-05-01
437,488,2021-05-02
438,541,2021-05-03
439,676,2021-05-04
440,574,2021-05-05
